"dba_name","address","zip","times_failed"
MACRAMENTADAS,"3055-57 W POPE JOHN PAUL II DR","60632",210
"ILLINOIS SPORTSERVICE, INC.","333 W 35TH ST","60616",35
"LUIGI'S PIZZA BY THE SLICE, INC","4212 W MADISON ST","60624",24
LAS ISLAS MARIAS,"4770 W GRAND AVE","60639",24
LUMES PANCAKE HOUSE,"11601 S WESTERN AVE","60643",23
JOSEPHINE'S COOKIN',"436 - 440 E 79TH ST","60619",22
TAQUERIA EL RANCHITO,"2829 N MILWAUKEE AVE","60618",21
POPEYE'S #831,"1959 W HOWARD ST","60626",21
"NEW HONG KONG BUFFET, INC","6249 N MCCORMICK RD","60659",21
IYANZE,"4623-4627 N BROADWAY ","60640",21
"A.P. DELI RESTAURANT GROUP, INC.","10758 S MICHIGAN AVE","60628",20
SKY CHOP SUEY INC,"8616 S KEDZIE AVE","60652",19
MONTESSORI OF ENGLEWOOD,"6936 S HERMITAGE AVE","60636",19
DEVON MARKET,"1440 W DEVON AVE","60660",19
THREE HAPPINESS RESTAURANT,"209 W CERMAK RD","60616",18
